bacnet,ASHRAE building automation and control protocol,protocol,I
bluetooth,Short range wireless communication protocol,protocol,I
coap,Constrained Application Protocol,protocol,A
dali,Digital Addressable Lighting Interface protocol for lighting,protocol,I
ftp,File Transfer Protocol,protocol,I
haystack,Haystack HTTP protocol for exchanging tagged data,protocol,I
http,Hypertext Transfer Protocol which is foundation of the web,protocol,A
imap,Internet Message Access Protocol for retrieving email,protocol,I
knx,KNX protocol commonly used for lighting systems,protocol,I
modbus,Register based communication protocol used with industrial devices,protocol,A
mqtt,Message Queuing Telemetry Transport publish/subscribe protocol,protocol,A
obix,XML based Open Building Information eXchange protocol,protocol,I
pop3,Post Office Protocol version 3 for retrieving email,protocol,I
smtp,Simple Mail Transfer Protocol for sending email,protocol,I
snmp,Simple Network Management Protocol for managing IP devices,protocol,I
sox,Sedona Framework UDP based communication protocol,protocol,I
zigbee,Low power wireless communication protocol for home automation,protocol,I
zwave,Low power wireless communication protocol for home automation,protocol,I
air-velocity,Rate of air movement as distance over time,quantity,A
apparent-energy,Integral of apparent-power over time,quantity,A
apparent-power,Apparent power is perceived magnitude of power due to the combination of active and reactive power,quantity,A
cloudage,Percentage of sky obscured by clouds,quantity,A
concentration,Abundance of substance in the total volume of a mixture,quantity,A
airQuality,Concentration of contaminants in the air,quantity,A
ch2o-concentration,Concentration of formaldehyde (CH₂O) in the air,quantity,A
co-concentration,Concentration of carbon monoxide (CO) in the air,quantity,A
co2-concentration,Concentration of carbon dioxide (CO₂) in the air,quantity,A
nh3-concentration,Concentration of ammonia (NH₃) in the air,quantity,A
no2-concentration,Concentration of nitrogen dioxide (NO₂) in the air,quantity,A
o3-concentration,Concentration of ozone (O₃) in the air,quantity,A
pm01-concentration,Concentration of particulate matter 0.1 in the air,quantity,A
pm10-concentration,Concentration of particulate matter 10 in the air,quantity,A
pm25-concentration,Concentration of particulate matter 2.5 in the air,quantity,A
tvoc-concentration,Concentration of total volatile organic compounds (TVOC) in the air,quantity,A
current-angle,AC current phase angle,quantity,A
current-imbalance,Current phase imbalance in a multiphase AC system,quantity,A
current-thd,Total harmonic current distortion,quantity,A
daytime,Time between sunrise and sunset,quantity,A
dewPoint,Dew point temperature at which water vapor will form dew,quantity,A
direction,Compass direction measured in degrees,quantity,A
wind-direction,Compass direction from which wind originates,quantity,A
elec-current,Electrical current,quantity,A
current-magnitude,Magnitude of electrical current,quantity,A
elec-volt,"Electrical voltage, potential difference",quantity,A
volt-magnitude,Magnitude of electrical voltage,quantity,A
emission,Amount of a substance discharged into the air,quantity,A
ch4-emission,Greenhouse gas emission of methane (CH₄) into the air,quantity,A
co2-emission,Greenhouse gas emission of carbon dioxide (CO₂) into the air,quantity,A
hfc-emission,Greenhouse gas emission of hydrofluorocarbons into the air,quantity,A
n2o-emission,Greenhouse gas emission of nitrous oxide (N₂O) into the air,quantity,A
nf3-emission,Greenhouse gas emission of nitrogen trifluoride (NF₃) into the air,quantity,A
pfc-emission,Greenhouse gas emission of perfluorocarbons into the air,quantity,A
sf6-emission,Greenhouse gas emission of sulphur hexafluoride (SF₆) into the air,quantity,A
energy,Measure of ability to do work,quantity,A
elec-energy,Electrical energy consumed,quantity,A
active-energy,Integral of active-power over time,quantity,A
enthalpy,Total heat content of a system,quantity,A
feelsLike,"Apparent temperature perceived when considering humidity, wind chill, and heat index",quantity,A
flow,Measure of volumetric flow of fluid,quantity,A
freq,Occurrences per unit time,quantity,A
ac-freq,Frequency of alternating current,quantity,A
humidity,Percent relative humidity,quantity,A
illuminance,Luminous flux hitting the inside of the sphere at a specific point,quantity,A
irradiance,Energy received at a surface by area,quantity,A
solar-irradiance,Energy received on surface of the earth from the sun,quantity,A
level,Range from 0% to 100%,quantity,A
light-level,Sensed or controlled dimming level of electrical lighting,quantity,A
luminance,Energy of light in a given direction,quantity,A
luminous-flux,Total perceived light in all directions,quantity,A
luminous-intensity,Perceived light in a particular direction per unit solid angle,quantity,A
pf,Electrical power factor,quantity,A
power,Energy consumed per unit time,quantity,A
elec-power,Electrical energy consumed per unit time,quantity,A
active-power,Active power or real power,quantity,A
elec-demand,Active power averaged over a rolling interval,quantity,A
precipitation,"Amount of atmospheric water vapor fallen including rain, sleet, snow, and hail",quantity,A
pressure,Measure of force applied,quantity,A
atmospheric-pressure,Barometric pressure exerted by the weight of the atmosphere,quantity,A
reactive-energy,Integral of reactive-power over time,quantity,A
reactive-power,Reactive power or imaginary power,quantity,A
speed,Distance per unit time,quantity,A
wind-speed,Wind flow speed,quantity,A
temp,Temperature - measure of hot and cold,quantity,A
air-temp,Dry bulb temperature,quantity,A
vfd-freq,"VFD frequency measured in ""Hz""",quantity,A
vfd-speed,"VFD speed measured in ""%""",quantity,A
visibility,Distance at which light can be clearly discerned,quantity,A
volt-angle,AC voltage phase angle,quantity,A
volt-imbalance,AC voltage phase imbalance,quantity,A
volume,Three dimensional space occupied by a substance,quantity,A
weatherCond,Enumeration of weather conditions,quantity,A
wetBulb,Wet bulb air temperature,quantity,A
dataCenter,Space used to house computer and networking gear,space,A
floor,Storey of a building,space,A
ground-floor,Floor at ground level,space,A
roof-floor,The roof floor is the topmost level of a building,space,A
subterranean-floor,Floor below ground level,space,A
room,Enclosed room of a building,space,A
zone-space,Space associated with a specific system,space,A
hvac-zone-space,Zone related to conditioning of a space's air temperature and quality,space,A
lighting-zone-space,Zone related to lighting system,space,A
actuator,Equipment to move or control a mechanism,equip,A
damper-actuator,Actuator to regulate the flow of air,equip,A
valve-actuator,Actuator to regulate the flow of fluid,equip,A
airHandlingEquip,HVAC equipment that conditions and delivers air via one or more fans,equip,A
ahu,Air Handling Unit,equip,A
doas,Dedicated Outside Air System,equip,A
mau,Makeup Air Unit,equip,A
rtu,Roof Top Unit,equip,A
fcu,Fan Coil Unit,equip,A
crac,Computer Room Air Conditioner,equip,A
unitVent,Unit Ventilator,equip,A
vrf-indoorUnit-fcu,Indoor unit fan coil unit in a VRF system,equip,A
